ActivityType,opening Time,Latest start time,Closing time,earliest Closing time,duration
Airport passenger terminal,na,na,na,na,7102
Airport passenger terminal_StartOrEnd,na,na,na,na,43200
Ambulance depot,na,na,na,na,4500
Ambulance depot_StartOrEnd,na,na,na,na,43200
Another home / second home (occassional)_StartOrEnd,na,na,na,na,43200
Anywhere in the Mainland_StartOrEnd,na,na,na,na,43200
Anywhere in the overseas_StartOrEnd,na,na,na,na,43200
Bank,36000,na,64800,na,6773
Bank_StartOrEnd,na,na,na,na,43200
Barbecue sites,36000,na,64800,na,14400
Barbecue sites_StartOrEnd,na,na,na,na,43200
Beauty salon/Barber shop,25200,na,57600,na,3276
Beauty salon/Barber shop_StartOrEnd,na,na,na,na,43200
Boundary Control Point,21600,na,82800,na,37052
Boundary Control Point_StartOrEnd,na,na,na,na,43200
Bus / public light bus terminal / stop / MTR / LRT station / pier (non-transport purpose e.g. settle/get things),na,na,na,na,7500
Bus / public light bus terminal / stop / MTR / LRT station / pier (non-transport purpose e.g. settle/get things)_StartOrEnd,na,na,na,na,43200
Carrying/meeting family,25200,na,68400,na,530
Carrying/meeting family_StartOrEnd,na,na,na,na,43200
Cemeteries / crematoria,28800,na,68400,na,16375
Cemeteries / crematoria_StartOrEnd,na,na,na,na,43200
Chek Lap Kok Airport (non-departure or arrival),na,na,64800,na,8400
Chek Lap Kok Airport (non-departure or arrival)_StartOrEnd,na,na,na,na,43200
Church / temple,32400,na,79200,na,12568
Church / temple_StartOrEnd,na,na,na,na,43200
Churches,28800,na,39600,na,633
Churches_StartOrEnd,na,na,na,na,43200
Cinema/concert karaoke and other entertainment facilities (includindg nightclubs / bathhouses / massage establishments,39600,na,86400,na,13522
Cinema/concert karaoke and other entertainment facilities (includindg nightclubs / bathhouses / massage establishments_StartOrEnd,na,na,na,na,43200
Clinic and Hospital,32400,na,61200,na,11400
Clinic and Hospital_StartOrEnd,na,na,na,na,43200
Clubhouses / Yacht clubs / Golf clubs,36000,na,57600,na,1923
Clubhouses / Yacht clubs / Golf clubs_StartOrEnd,na,na,na,na,43200
Construction site,28800,na,64800,na,9822
Construction site_StartOrEnd,na,na,na,na,43200
Convention centers / Showrooms,39600,na,72000,na,10959
Convention centers / Showrooms_StartOrEnd,na,na,na,na,43200
Country park / countryside area,36000,na,64800,na,10800
Country park / countryside area_StartOrEnd,na,na,na,na,43200
Cultural / community center library and arts / museum,32400,na,75600,na,11224
Cultural / community center library and arts / museum_StartOrEnd,na,na,na,na,43200
Depot / Ship repair yards,32400,na,68400,na,4909
Depot / Ship repair yards_StartOrEnd,na,na,na,na,43200
Dormitory,25200,na,39600,na,900
Dormitory_StartOrEnd,na,na,na,na,43200
Driving / taking a ride,28800,na,79200,na,4350
Driving / taking a ride_StartOrEnd,na,na,na,na,43200
Elderly homes,32400,na,64800,na,13610
Elderly homes_StartOrEnd,na,na,na,na,43200
Examination venue,64800,na,75600,na,8700
Examination venue_StartOrEnd,na,na,na,na,43200
Factory,32400,na,64800,na,4457
Factory_StartOrEnd,na,na,na,na,43200
Farms / Fishing grounds / Horticultural sites,14400,na,64800,na,17869
Farms / Fishing grounds / Horticultural sites_StartOrEnd,na,na,na,na,43200
Food premise: restaurant caf pub etc.,36000,na,79200,na,10356
Food premise: restaurant caf pub etc._StartOrEnd,na,na,na,na,43200
Funeral home / cemetery / crematorium / bone ash space,39600,na,54000,na,1451
Funeral home / cemetery / crematorium / bone ash space_StartOrEnd,na,na,na,na,43200
Funeral parlors,36000,na,54000,na,1453
Funeral parlors_StartOrEnd,na,na,na,na,43200
Garage / car repair center,32400,na,61200,na,8237
Garage / car repair center_StartOrEnd,na,na,na,na,43200
Government and Community organization,28800,na,61200,na,4884
Government and Community organization_StartOrEnd,na,na,na,na,43200
Holiday camp,36000,na,64800,na,10800
Holiday camp_StartOrEnd,na,na,na,na,43200
Holiday villages / Holiday camp,36000,na,64800,na,16509
Holiday villages / Holiday camp_StartOrEnd,na,na,na,na,43200
Home,28800,na,72000,na,14968
Home of family member/relative/friend,36000,na,79200,na,15736
Home of family member/relative/friend_StartOrEnd,na,na,na,na,43200
Home_StartOrEnd,na,na,na,na,43200
Homes for the aged / Nursing homes,32400,na,54000,na,726
Homes for the aged / Nursing homes_StartOrEnd,na,na,na,na,43200
Hospital / medical center / clinic,32400,na,68400,na,10941
